Order,Stn,Block,Grid,Date,Surveyors,Sampled,Y0Count,Y0Weight,Y1Count,Y1Weight,Y2Count,Y2Weight,Y3Count,Y3Weight,Substrata,Media,Easting,Northing,fifteen
1,1,NoA,250,13/05/2022,AP_PD,Y,0,0,2,3,0,0,0,0,sand,5,245000,200000,0.0000
2,2,NoA,250,13/05/2022,AP_PD,Y,0,0,7,14,1,5,0,0,sand,5,245250,200000,19.0000
3,3,NoA,250,13/05/2022,VS_JH,Y,0,0,3,6,0,0,0,0,sand,5,245500,200000,0.0000
4,4,NoA,250,13/05/2022,VS_JH,Y,0,0,1,1,0,0,0,0,sand,5,245750,200000,0.0000
5,5,NoA,250,13/05/2022,VS_JH,Y,0,0,42,75,8,61,1,10,sand,5,246000,200000,71.0000
6,6,NoA,250,13/05/2022,AP_PD,Y,0,0,1,4,0,0,0,0,sand,5,245000,199750,4.0000
7,7,NoA,250,13/05/2022,AP_PD,Y,0,0,0,0,0,0,0,0,sand,5,245250,199750,0.0000
8,8,NoA,250,13/05/2022,AP_PD,Y,0,0,0,0,0,0,0,0,sand,5,245500,199750,0.0000
9,26,SB,250,17/05/2022,VS_PD,N,,,,,,,,,rocks,6,245000,196500,
10,32,SB,250,17/05/2022,VS_PD,N,,,,,,,,,channel,7,245250,197000,
11,33,SB,250,17/05/2022,VS_PD,N,,,,,,,,,rocks,6,245250,196750,
12,34,SB,250,17/05/2022,VS_PD,Y,0,0,15,16,3,11,0,0,sand,5,245250,196500,24.0000
13,35,NB,250,16/05/2022,VS_PD,N,,,,,,,,,channel,7,245500,199250,
14,42,SB,250,17/05/2022,VS_PD,Y,0,0,0,0,0,0,0,0,sand,5,245500,196750,0.0000
15,43,SB,250,17/05/2022,VS_PD,Y,0,0,0,0,3,9,3,25,sand,5,245500,196500,34.0000
16,44,SB,250,17/05/2022,VS_PD,Y,0,0,0,0,0,0,0,0,sand,5,245500,196250,0.0000
17,45,SB,250,17/05/2022,VS_PD,Y,0,0,0,0,0,0,0,0,sand,5,245500,196000,0.0000
18,46,SB,250,17/05/2022,VS_PD,Y,0,0,0,0,0,0,0,0,sand,5,245500,195750,0.0000
19,48,NB,250,16/05/2022,VS_PD,N,,,,,,,,,channel,7,245750,199750,
