length,y0,y1,y2,total
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,5,0,5
8,0,45,0,45
9,0,79,0,79
10,0,239,0,239
11,0,547,0,547
12,0,1127,0,1127
13,0,1491,0,1491
14,0,1390,0,1390
15,0,1190,0,1190
16,0,858,7,864
17,0,396,38,434
18,0,426,77,502
19,0,295,137,432
20,0,210,165,375
21,0,40,190,230
22,0,9,172,181
23,0,1,190,191
24,0,0,178,178
25,0,1,110,111
26,0,0,89,89
27,0,0,66,66
28,0,0,53,53
29,0,0,31,31
30,0,0,11,11
31,0,0,4,4
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
